Geneid,glyphosatea,glyphosateb,watera,waterb
LOC122585712,123,43,98,132
LOC122585940,6,163,248,9
LOC122609671,1794,1725,2538,2260
LOC122600442,1752,2031,3173,2884
LOC122589661,0,0,0,0
LOC122589752,1,0,0,1
LOC122583001,348,676,459,230
LOC122585186,14,28,52,31
LOC122584678,200,177,167,146
TRNAK-UUU,0,0,0,0
LOC122604718,800,774,1989,1561
LOC122604736,1,0,0,0
LOC122589853,0,0,0,0
LOC122604728,21,20,29,21
LOC122589950,1,0,0,0
LOC122604689,535,475,985,735
LOC122590048,14,27,73,51
LOC122603859,3273,3454,4382,4112
LOC122590149,0,0,0,0
LOC122590252,0,0,0,0
LOC122606859,1554,1429,1550,1334
LOC122590605,0,0,0,0
LOC122585166,217,151,183,169
LOC122609945,1831,1746,2003,1611
LOC122590788,0,0,0,0
LOC122585658,5,6,9,3
LOC122584682,824,1275,6083,4094
LOC122585803,1,0,5,1
LOC122608982,791,571,644,459
LOC122604825,297,276,492,386
LOC122606490,2654,1809,2739,2580
LOC122587092,0,0,0,2
LOC122597884,0,0,0,1
LOC122591238,2,3,0,0
LOC122601164,395,1177,3119,2697
LOC122585805,514,473,2049,2090
LOC122585715,1015,910,8,1
LOC122579091,730,590,588,439
LOC122591477,0,0,0,1
LOC122584922,286,327,714,552
LOC122608308,1367,1163,1783,1666
LOC122578981,267,270,280,295
LOC122610344,48,36,123,72
LOC122591555,120,85,368,258
LOC122591550,4,6,18,19
LOC122604170,2502,2764,5869,5351
LOC122585268,20,30,13,4
LOC122578811,278,176,265,335
LOC122585499,2497,3090,94,40
LOC122592071,31,48,57,45
LOC122598699,13,17,12,20
LOC122597185,5,9,18,11
LOC122592167,25,142,37,2
LOC122592345,0,0,0,0
LOC122585111,988,1248,563,482
LOC122583332,2337,3159,538,295
LOC122592525,0,0,0,0
LOC122597291,0,0,0,0
LOC122597202,0,0,0,0
LOC122587331,5047,2261,117,233
LOC122592785,0,0,0,0
LOC122592882,0,0,0,0
LOC122585625,1,1,0,0
LOC122609023,148,248,1102,558
LOC122585129,48,40,89,104
LOC122592980,0,0,0,0
LOC122585780,38,24,63,74
LOC122579549,121,165,329,213
LOC122608832,223,228,274,247
LOC122608828,112,135,356,247
LOC122586074,0,0,0,0
LOC122585734,4,2,7,6
LOC122604332,16,18,8,13
LOC122585007,9,8,65,25
LOC122584671,610,230,35,168
LOC122593257,0,0,0,0
LOC122593355,0,0,0,0
LOC122611233,109,14,11,442
LOC122596901,65,81,246,163
LOC122593642,22,33,16,13
LOC122579318,1892,867,1450,2094
LOC122593738,0,0,0,1
LOC122585720,2,3,5,3
LOC122593835,0,0,0,0
LOC122585015,287,335,898,589
LOC122610365,1159,679,55,22
LOC122610368,2420,2141,2763,2026
LOC122608707,736,714,1121,962
LOC122603170,922,1069,1098,744
LOC122598588,106,104,185,88
LOC122598571,2471,2171,2236,1887
LOC122578124,466,553,2822,2088
LOC122594221,0,0,0,0
LOC122594316,0,0,0,0
LOC122597978,168,233,37,11
LOC122594419,0,0,0,0
LOC122594526,0,0,0,1
LOC122598004,120,100,185,97
LOC122597996,2,7,11,8
LOC122594760,0,0,0,0
LOC122584744,166,116,128,78
LOC122602107,2267,2008,2108,1525
LOC122610686,403,448,1046,765
LOC122585847,12,10,30,19
LOC122611281,362,306,346,293
LOC122609192,1742,2459,4126,3028
LOC122584919,550,563,963,617
LOC122595312,0,0,0,0
LOC122584361,1,0,0,0
LOC122580935,9,2,1,1
LOC122598977,8514,6454,16781,15919
LOC122596668,3277,2342,2695,2047
LOC122595639,0,0,0,0
LOC122595729,0,0,0,0
LOC122595907,0,0,1,0
LOC122599941,310,355,653,431
LOC122599932,356,928,184,70
LOC122599243,676,878,2069,1155
LOC122585722,3,34,7,0
LOC122584949,0,1,3,3
LOC122596185,0,0,0,0
LOC122596373,104,428,12,4
LOC122596468,29,62,9,4
LOC122596653,0,0,0,0
LOC122596749,0,0,0,2
LOC122609646,928,210,429,1146
LOC122607860,17,2,0,22
LOC122596973,16,14,5,2
LOC122602759,1068,698,1150,870
LOC122597152,6,0,0,0
LOC122597234,0,0,0,0
LOC122585299,6750,5189,2839,2660
LOC122597334,0,0,0,0
LOC122597515,1,0,0,0
LOC122584864,32,30,98,96
LOC122604789,3199,3183,8934,6588
LOC122597607,0,0,0,0
LOC122597797,1,1,0,0
LOC122597888,1,0,1,0
LOC122598181,1,0,0,0
LOC122585834,547,176,1,0
LOC122594458,339,238,508,288
LOC122596685,1,0,1,2
LOC122586005,241,212,403,278
LOC122602619,296,320,1310,953
LOC122598283,0,1,2,0
LOC122585833,5,2,5,1
LOC122596762,76,73,92,59
LOC122599265,11415,10644,9829,7727
LOC122604549,1919,2390,3129,2079
LOC122598482,0,1,2,5
LOC122610146,418,382,554,470
LOC122585636,6,26,52,16
LOC122599123,252,187,1032,1174
LOC122599110,26,23,29,15
LOC122599132,3,5,16,6
LOC122586027,76,83,512,388
LOC122598584,24,34,17,15
LOC122598691,0,0,0,0
LOC122599024,0,0,0,0
LOC122599118,0,45,0,0
LOC122585508,0,0,0,0
LOC122599217,0,0,0,0
LOC122599391,0,0,2,0
LOC122599568,1,8,8,0
LOC122599659,0,0,0,0
LOC122604434,2889,2227,2769,2459
LOC122585703,411,263,390,272
LOC122599843,3,4,20,11
LOC122600145,1054,697,702,482
LOC122586059,3,2,0,0
LOC122598692,1,0,0,0
LOC122584708,365,218,178,158
LOC122602885,305,279,993,817
LOC122584928,126,107,153,98
LOC122586169,194,161,316,227
LOC122597829,0,1,1,1
LOC122597822,0,0,0,2
LOC122600965,775,701,1281,1049
LOC122584710,838,731,1904,1967
LOC122600230,0,0,0,0
LOC122601374,483,487,910,718
LOC122601409,2,0,1,0
LOC122601387,558,628,1857,1316
LOC122585465,8,0,0,23
LOC122598299,108,120,103,95
LOC122600420,0,1,0,0
LOC122602915,786,832,1276,909
LOC122609184,521,497,1193,871
LOC122600513,0,0,0,0
LOC122583681,78,135,610,552
LOC122600605,58,95,132,70
LOC122598556,1207,925,1318,1240
LOC122598544,9908,10405,8301,6283
LOC122604587,1781,2309,5862,4604
LOC122584907,1,2,3,0
LOC122600707,0,1,0,0
LOC122608854,590,517,498,471
LOC122600025,1,2,3,6
LOC122585862,9,6,3,4
LOC122600805,0,0,0,0
LOC122601226,2,0,2,0
LOC122600417,0,1,1,0
LOC122601283,0,0,0,0
LOC122609804,264,328,1289,1011
LOC122584076,83,89,352,191
LOC122605443,1138,845,539,467
LOC122601561,0,0,0,0
LOC122609011,33,70,595,772
LOC122593607,1,0,1,0
LOC122601979,1231,900,201,292
LOC122601993,158,114,5,0
LOC122606714,618,1817,265,48
LOC122584800,125,413,38,6
LOC122603207,155,153,131,164
LOC122603238,24,38,249,192
LOC122585943,0,0,1,5
LOC122584899,130,121,208,134
LOC122585165,763,1176,3505,2815
LOC122585843,233,275,247,141
LOC122601924,31,43,14,8
LOC122597038,0,2,0,0
LOC122596116,0,0,0,2
LOC122585814,298,266,288,199
LOC122602128,0,0,0,0
LOC122581424,286,366,883,768
LOC122583092,2442,2368,1787,1309
LOC122583572,70,76,193,165
LOC122581434,603,453,548,418
LOC122585772,3,8,33,8
LOC122584435,635,478,655,465
LOC122602451,0,0,0,0
LOC122600478,328,364,1518,1116
LOC122584873,1644,2684,2194,912
LOC122602574,0,0,0,0
LOC122602679,0,0,0,0
LOC122584767,333,326,687,498
LOC122602769,8,7,20,11
LOC122610320,741,905,4256,3027
LOC122585405,0,0,0,1
LOC122585936,185,143,478,377
LOC122582926,294,301,364,223
LOC122611070,1023,800,253,186
LOC122611078,2,2,6,4
LOC122585030,44,93,223,122
LOC122598512,2102,1486,4621,4160
LOC122602962,1,0,0,0
LOC122603053,0,2,18,18
LOC122585983,3,0,2,6
LOC122599283,1296,1469,1367,969
LOC122599274,68,82,348,191
LOC122603237,0,0,0,0
LOC122603512,0,0,0,0
LOC122603601,0,0,0,2
LOC122606276,0,7,13,32
LOC122606287,67,85,162,152
LOC122587772,57,46,136,81
LOC122587818,1,0,3,4
LOC122581889,85,186,1385,931
LOC122585418,0,0,5,1
LOC122582252,4332,5036,7019,4672
LOC122598096,3453,2919,4045,3084
LOC122584739,1512,1424,1451,1133
LOC122582101,240,372,681,428
LOC122599199,47,102,246,207
LOC122585498,369,300,106,106
LOC122602375,3656,5018,8734,5330
LOC122585065,1840,1020,1223,1271
LOC122585479,323,213,116,71
LOC122584760,635,853,237,146
LOC122604491,791,631,661,608
LOC122604182,0,0,0,0
LOC122599218,16,6,8,10
LOC122584847,26,26,25,10
LOC122593702,726,736,892,501
LOC122607439,362,367,494,280
LOC122603263,2142,1293,1504,1092
LOC122585794,458,750,1490,1147
LOC122601556,347,669,4508,3930
LOC122582665,137,159,226,134
LOC122609042,29,52,180,167
LOC122597739,0,0,0,0
LOC122601476,1493,1349,3878,3675
