Geneid,glyphosatea,glyphosateb,watera,waterb
LOC122586088,0,1,0,2
LOC122578620,370,338,633,450
LOC122610540,128,131,222,192
LOC122584792,87,80,112,104
LOC122592198,0,3,3,1
LOC122585885,390,271,33,24
LOC122585884,13876,10685,2200,1694
LOC122585203,54,75,236,161
LOC122592213,0,0,0,0
LOC122584849,161,215,125,94
LOC122585573,337,301,17,17
LOC122597382,1,7,7,17
LOC122597022,2,2,27,18
LOC122578875,141,121,264,197
LOC122585695,5,9,56,23
LOC122585400,405,312,85,35
LOC122586004,0,1,2,7
LOC122592229,0,0,0,0
LOC122599163,5693,3473,2330,1835
LOC122584930,196,328,189,175
LOC122606824,354,371,542,450
LOC122602894,2509,1912,1036,727
LOC122585329,693,889,795,647
LOC122585988,457,639,2199,1711
LOC122585917,29,45,87,59
LOC122606948,169,290,966,859
LOC122584751,159,148,479,620
LOC122605673,839,577,472,346
LOC122584988,36,35,251,225
LOC122585025,1692,2674,2492,1995
LOC122585383,0,19,675,209
LOC122592239,0,0,0,0
LOC122592249,0,0,0,0
LOC122585762,5,8,20,33
LOC122584685,107,187,225,169
LOC122585784,34,39,54,32
LOC122592275,0,0,0,0
LOC122599249,635,499,990,709
LOC122584382,674,589,173,157
LOC122582813,2186,1791,1473,1047
LOC122585980,3813,2728,2738,2115
LOC122585655,499,416,2,5
LOC122604918,8102,6412,776,702
LOC122611010,427,317,318,332
LOC122611042,170,176,115,88
LOC122600724,3394,2652,2599,2217
LOC122610411,1147,1036,3193,2583
LOC122584307,2169,3237,6008,4133
LOC122603127,496,448,778,828
LOC122592291,0,0,1,0
LOC122599361,1,24,69,36
LOC122597765,6,3,6,1
LOC122585696,278,239,613,490
LOC122592346,0,0,0,0
LOC122592354,2,1,0,0
LOC122592363,1,0,0,0
LOC122592373,484,742,666,508
LOC122598154,6470,4393,2408,2241
LOC122584856,1553,1490,1387,874
LOC122586109,383,385,533,319
LOC122586108,4520,4575,3049,3222
LOC122584970,250,84,2,0
LOC122584695,106,83,27,35
LOC122592382,0,0,0,0
LOC122592393,0,1,0,0
LOC122592402,0,0,0,0
LOC122586188,4,1,5,2
LOC122585378,5,3,16,30
LOC122586071,0,1,7,2
LOC122592421,0,0,0,0
LOC122585689,7,3,0,0
LOC122584986,64,125,239,184
LOC122585838,6,15,77,45
LOC122592430,0,0,0,0
LOC122603016,617,691,572,558
LOC122583257,574,524,135,170
LOC122601050,651,595,1414,949
LOC122592438,0,0,0,0
LOC122592446,652,628,792,339
LOC122597422,2,2,5,2
LOC122586107,28,18,3,1
LOC122581453,388,205,322,241
LOC122578434,185,96,197,92
LOC122585045,9,5,15,11
LOC122586176,0,0,1,1
LOC122585487,206,291,484,404
LOC122585937,1,1,17,4
LOC122585659,2,4,16,4
LOC122585214,355,790,5710,3992
LOC122592460,0,0,0,0
LOC122580424,781,796,334,330
LOC122585501,846,871,765,578
LOC122579475,345,380,586,444
LOC122592470,0,0,0,0
LOC122580075,55,76,362,260
LOC122592480,25,26,239,141
LOC122584619,633,1072,956,769
LOC122585850,6,5,6,2
LOC122585851,0,0,0,0
LOC122592489,0,0,0,0
LOC122592498,0,0,0,0
LOC122592508,0,0,0,0
LOC122592516,0,0,0,0
LOC122609306,1320,1119,778,525
LOC122599345,754,843,2936,2360
LOC122586157,7,24,23,8
LOC122598928,0,0,0,0
LOC122579421,292,256,782,560
LOC122592542,0,0,0,0
LOC122599309,7401,5598,4306,3459
LOC122599318,773,548,2229,1948
LOC122599300,995,699,1055,1110
LOC122599327,368,336,1161,801
LOC122609278,4429,3199,1725,1364
LOC122597059,0,0,1,1
LOC122585825,0,0,0,0
LOC122585552,272,306,698,611
LOC122610838,599,786,393,294
LOC122584862,202,151,675,550
LOC122585795,266,366,175,94
LOC122585796,91,70,14,17
LOC122585168,3341,2702,15,9
LOC122585774,258,255,1,1
LOC122585705,0,2,5,0
LOC122585706,2,108,243,10
LOC122592576,0,0,1,0
LOC122609163,72,311,2282,1132
LOC122609170,19,36,122,73
LOC122585230,27,29,33,22
LOC122581578,361,339,924,567
LOC122610787,103,111,269,194
LOC122611240,2164,2863,6933,5383
LOC122603579,584,578,657,497
LOC122597707,0,0,0,1
LOC122592585,0,0,0,0
LOC122599146,0,0,0,0
LOC122592590,0,0,0,0
LOC122596643,0,0,0,0
LOC122592599,0,0,0,0
LOC122581201,19,40,126,80
LOC122584812,241,236,490,284
LOC122579057,1023,1811,488,367
LOC122592609,0,1,2,1
LOC122579382,331,267,597,572
LOC122592615,3,4,7,3
LOC122592624,8,1,6,6
LOC122585652,0,0,0,0
LOC122589128,0,0,6,0
LOC122585581,0,0,0,0
LOC122592651,0,0,0,0
LOC122584688,1021,1507,421,221
LOC122592661,1,2,0,0
LOC122592672,1,0,0,0
LOC122585145,613,943,1588,1204
LOC122585147,243,194,935,801
LOC122592682,4,2,1,2
LOC122592691,715,765,1488,1099
LOC122583672,678,641,1130,878
LOC122600284,1337,1162,1990,1636
LOC122607397,11,24,154,201
LOC122610315,536,530,328,313
LOC122581609,41,60,383,413
LOC122582968,602,503,921,729
LOC122592700,0,0,0,0
LOC122584301,233,258,225,154
TRNAT-CGU,0,0,0,0
LOC122580202,1562,2338,1023,605
LOC122602744,159,199,472,395
LOC122602750,130,120,234,197
LOC122582205,339,379,629,419
LOC122581841,343,266,408,296
TRNAN-GUU,1,0,0,0
LOC122607482,507,401,582,372
LOC122608390,132,189,712,381
LOC122585742,2934,1951,890,589
LOC122586205,0,0,0,0
LOC122585632,10,17,30,35
LOC122611188,64,67,136,108
LOC122585269,746,512,764,572
LOC122608689,124,84,60,68
LOC122585202,212,231,1085,844
LOC122599765,959,1031,406,405
LOC122599750,96,101,143,130
LOC122606449,3326,2835,3864,3270
LOC122578072,335,265,443,310
LOC122585595,46,49,19,15
LOC122583290,246,213,46,34
LOC122598718,1145,1036,7943,5652
LOC122585699,3,1,1,1
LOC122599922,633,933,1804,1566
LOC122599915,181,218,709,481
LOC122579047,915,971,2022,1409
LOC122580996,489,562,961,981
LOC122580986,56,70,55,34
LOC122592716,81,43,53,80
LOC122592733,36,35,62,31
LOC122583386,398,431,676,500
LOC122592744,0,1,1,1
LOC122607049,187,123,186,188
LOC122607038,5,5,21,15
LOC122586170,0,0,0,1
LOC122609614,428,495,1701,1240
LOC122600826,5,11,17,20
LOC122600832,12098,12967,8320,6761
LOC122606880,467,467,1097,883
LOC122592753,0,1,0,0
LOC122600914,83,82,38,23
LOC122600947,0,0,0,0
LOC122600941,2,0,5,4
LOC122600930,70,99,241,104
LOC122585328,369,375,412,303
LOC122610617,219,300,3028,2272
LOC122592767,574,476,422,352
LOC122585005,61,100,142,100
LOC122592777,1,0,0,5
LOC122586223,5,2,4,11
LOC122579578,185,242,578,413
LOC122585258,35,54,124,85
LOC122604644,225,255,782,570
LOC122584815,522,468,98,106
LOC122592786,0,0,0,0
LOC122584968,200,214,310,218
LOC122592796,0,0,0,0
LOC122592805,0,0,0,0
LOC122584950,38,15,88,89
LOC122578837,187,156,289,204
LOC122583376,1090,884,320,289
LOC122585043,431,367,276,255
LOC122585044,16,12,18,21
LOC122585042,6,30,107,65
LOC122608037,252,324,165,91
LOC122608638,162,178,1949,1423
LOC122608648,2,1,8,3
LOC122601967,1312,1371,1930,1303
LOC122601961,741,634,1348,1072
LOC122605043,189,201,516,374
LOC122585379,107,491,7631,5488
LOC122586180,0,0,0,0
LOC122592825,53,145,1,0
LOC122585811,9,4,2,4
LOC122596991,1,1,3,1
LOC122585648,691,1015,753,527
LOC122585403,23,17,29,23
LOC122584713,0,1,1,0
LOC122584712,2055,2823,857,438
LOC122609413,400,437,301,202
LOC122597252,0,0,1,0
LOC122597242,4,0,2,1
LOC122580662,71,54,441,367
LOC122585536,27,24,19,9
LOC122578931,245,264,447,321
LOC122585912,3,1,6,3
LOC122592834,136,79,0,6
LOC122585545,887,1931,607,475
LOC122585006,1344,1240,983,790
LOC122586222,13,13,15,17
LOC122592845,626,621,1135,782
LOC122586079,0,0,0,1
LOC122608913,298,293,1397,1111
LOC122601420,1218,1914,4002,2225
LOC122605821,55,82,324,244
LOC122579456,85,55,182,168
LOC122606308,864,1013,546,444
LOC122585799,1,2,34,48
LOC122611000,1038,949,848,704
LOC122610358,186,239,381,308
LOC122578389,252,310,483,321
LOC122587154,30,28,11,6
LOC122584789,172,233,289,246
LOC122585895,7,14,13,3
LOC122585897,2848,2950,2471,2052
LOC122585896,207,250,1401,1425
LOC122581118,736,644,2015,1585
LOC122581109,268,388,1644,1330
LOC122584734,487,392,1164,836
LOC122585832,35,19,36,40
LOC122586208,0,0,0,0
LOC122585496,39,50,79,63
LOC122586209,0,0,0,0
LOC122597372,6,3,0,3
LOC122581290,391,525,163,91
LOC122584978,16,22,87,88
LOC122579920,0,0,0,0
LOC122603492,803,844,1419,1082
LOC122585127,36,114,202,126
LOC122592901,0,0,0,0
LOC122603796,8050,5716,6130,5051
LOC122585849,4,2,0,1
LOC122604622,3379,2742,2915,2435
LOC122586049,0,1,0,0
LOC122592908,0,0,0,0
LOC122604419,434,683,1418,846
LOC122598322,2494,1850,3038,2365
LOC122610498,201,255,1104,842
TRNAV-AAC,0,0,0,1
LOC122601367,278,261,712,640
LOC122611376,850,717,778,654
LOC122592919,0,0,0,0
LOC122587000,0,0,0,0
LOC122583132,71,105,397,443
LOC122586077,45,51,83,44
LOC122586076,30,99,373,339
LOC122584882,1197,1056,1131,899
LOC122584711,2799,1966,220,131
LOC122603188,1300,1222,1105,857
LOC122585415,10,13,126,135
LOC122602558,1,1,1,0
LOC122596886,0,2,1,0
LOC122602867,1622,1731,2185,1228
LOC122599895,2137,1149,1797,1348
LOC122585959,296,261,330,318
LOC122585310,254,294,426,278
LOC122585702,5,2,5,5
LOC122585782,70,51,102,155
LOC122582034,927,1107,1048,748
LOC122585835,12,29,86,56
LOC122592939,0,3,6,5
LOC122585284,698,958,2123,1555
LOC122581790,1152,946,1224,937
LOC122592949,11,23,18,9
LOC122589568,0,0,0,0
LOC122580258,184,207,253,192
LOC122580268,534,463,1031,1093
LOC122608048,544,488,1991,1617
LOC122586556,1,2,5,6
LOC122605026,1826,1938,2503,1894
LOC122605018,438,478,1159,1102
LOC122592959,0,0,0,2
LOC122584910,66,58,132,121
LOC122592970,0,0,0,0
LOC122585339,16,20,79,39
LOC122601791,767,422,760,777
LOC122579155,105,117,128,117
LOC122584840,208,204,596,480
LOC122584841,28,38,134,75
LOC122584867,0,1,4,0
LOC122605418,158,144,362,272
LOC122592993,0,0,0,0
LOC122597556,0,1,4,1
LOC122607289,439,460,928,800
LOC122583602,229,298,654,449
LOC122609683,327,284,421,391
LOC122609109,392,224,246,164
LOC122610162,1378,1374,3058,1986
LOC122584957,292,419,501,318
LOC122608764,157,146,428,390
LOC122585167,1011,733,311,186
LOC122593010,0,0,0,0
LOC122584820,1307,1788,2950,2230
LOC122579630,357,293,501,342
LOC122585813,37,48,7,10
LOC122585647,368,556,97,88
LOC122593021,1,1,0,0
LOC122581986,258,641,92,48
LOC122582004,371,631,133,64
LOC122585617,551,1142,25,16
LOC122585839,138,123,428,310
LOC122585642,2449,2799,2379,1663
TRNAL-UAA,0,0,0,0
LOC122607877,339,165,468,504
LOC122609509,29,58,238,130
LOC122609499,249,197,414,369
LOC122593061,0,2,0,2
LOC122605091,319,251,336,246
LOC122585946,12,34,60,22
LOC122580674,111,72,141,109
LOC122603314,389,491,1659,2438
LOC122593076,3,4,5,3
LOC122596995,1528,1543,2067,1414
LOC122585101,8,21,244,296
LOC122610350,380,313,414,429
LOC122605380,641,547,1262,834
LOC122580321,638,674,672,397
LOC122604909,90,63,249,222
LOC122580023,451,400,651,488
LOC122581165,224,222,356,274
LOC122610008,21735,19251,14562,12440
LOC122593085,5,0,0,1
LOC122585856,2675,1164,3,0
LOC122582382,210,355,1141,512
LOC122593118,1,2,1,4
LOC122593128,4,3,7,4
LOC122599337,1922,1255,922,668
TRNAW-CCA,0,0,0,0
LOC122608923,186,172,280,251
LOC122610461,383,469,423,315
LOC122593145,0,0,0,0
LOC122607332,645,512,124,113
LOC122607343,940,997,916,632
LOC122607352,942,880,4060,3428
LOC122593154,1,1,6,10
LOC122593162,1,0,2,2
LOC122585304,60,49,37,18
LOC122593172,0,1,0,0
LOC122608949,1145,1173,1325,895
LOC122593183,6,11,6,3
LOC122608959,2,1,3,4
LOC122608931,585,532,1035,888
LOC122580566,735,744,245,170
LOC122585989,524,403,334,290
LOC122593192,3,2,0,4
LOC122584846,240,206,444,421
LOC122585069,885,763,1352,1227
LOC122584351,1642,1711,2356,1763
LOC122597857,672,676,915,608
LOC122597868,275,281,817,640
LOC122598267,6267,5495,13672,12915
LOC122583081,204,186,239,216
LOC122582781,687,543,1805,1519
LOC122582772,1126,830,1941,2130
LOC122586148,1279,701,1219,867
LOC122578784,45,50,196,113
LOC122599959,2322,1328,3967,4567
LOC122585882,14,19,39,24
LOC122585106,233,215,150,97
LOC122610591,2307,1914,790,720
LOC122581653,1087,1067,503,281
LOC122593202,2,0,0,0
LOC122609887,517,958,648,478
LOC122585510,56,90,148,118
LOC122608355,127,150,205,195
LOC122585270,107,106,60,45
LOC122607986,13,13,90,63
LOC122607970,588,479,411,285
LOC122584705,412,175,296,141
LOC122585679,256,112,180,99
LOC122593219,0,0,0,0
LOC122601950,2676,2520,3996,2544
LOC122585738,419,433,765,708
LOC122585739,8,7,14,9
LOC122603197,1273,1147,1788,1393
LOC122604371,905,981,1784,1455
LOC122602542,342,588,918,557
LOC122586015,747,429,445,477
LOC122593253,1,8,20,3
LOC122600425,5099,5507,6704,6476
LOC122585198,10,35,147,57
LOC122584906,627,713,1034,580
LOC122604936,982,908,839,646
LOC122582616,364,350,1326,1191
LOC122578501,218,177,321,344
LOC122579464,1345,914,1215,1194
LOC122581814,153,145,426,363
LOC122584793,250,355,333,217
LOC122610989,1050,792,592,463
LOC122578945,288,256,213,174
LOC122609582,824,664,711,563
LOC122593263,0,1,1,0
LOC122593272,109,99,210,170
LOC122593280,0,0,0,0
LOC122578794,36,48,95,147
LOC122598400,2753,2044,2782,1859
LOC122598423,3,6,3,1
LOC122593291,2,4,2,0
LOC122598373,596,549,647,572
LOC122598412,22,33,55,33
LOC122583483,72,78,271,203
LOC122585565,1,3,6,4
LOC122585566,0,0,0,0
LOC122609538,648,565,401,236
LOC122584902,60,82,336,240
LOC122607750,110,126,305,221
LOC122608628,789,691,1438,916
LOC122584747,1025,1161,1294,1213
LOC122585461,75,66,62,75
LOC122608160,116,157,308,260
LOC122604264,9,9,37,29
LOC122604256,1060,1126,1818,1352
LOC122602184,5427,3440,1680,1397
LOC122579901,1367,1783,1217,836
LOC122586030,0,19,38,18
LOC122585930,66,82,176,103
LOC122585931,678,686,1117,872
LOC122582802,183,206,350,342
LOC122604577,631,445,464,332
LOC122593328,1,4,2,0
LOC122605465,105,404,239,82
LOC122605451,169,262,359,244
LOC122583285,758,1211,1228,893
LOC122609364,56,61,56,50
LOC122609354,268,236,236,165
LOC122585854,3,4,16,6
LOC122579641,379,285,240,214
LOC122593339,1,0,0,0
LOC122593350,0,0,0,0
LOC122593360,8,6,6,5
LOC122593370,0,0,0,0
LOC122586458,5,4,4,5
LOC122597732,0,1,0,1
LOC122586105,2,0,0,3
LOC122584845,343,295,1476,981
LOC122585116,648,383,94,73
LOC122584897,43,37,245,223
LOC122593396,0,0,0,0
LOC122584842,61,69,151,133
LOC122582990,849,453,513,473
LOC122593403,0,0,0,0
LOC122585215,116,123,239,144
LOC122593412,0,0,0,0
LOC122586019,440,363,498,363
LOC122604965,712,614,576,432
LOC122605007,485,409,436,350
LOC122583010,75,67,317,247
TRNAQ-UUG,0,0,0,0
TRNAG-GCC,0,0,0,0
LOC122604229,606,472,691,536
LOC122606297,518,508,1226,917
LOC122604560,1776,1609,1665,1221
LOC122601347,2126,807,609,674
LOC122601353,3095,3029,4842,3835
LOC122608016,1452,1462,1959,1644
LOC122593423,0,0,0,0
LOC122586234,0,0,0,0
LOC122603473,980,719,851,655
LOC122603482,344,250,311,149
LOC122604113,556,453,1070,730
LOC122585783,354,280,658,504
LOC122585047,157,132,170,155
LOC122601155,1456,1027,1704,1343
LOC122593433,0,0,0,0
LOC122593443,0,0,0,0
LOC122584999,0,0,0,1
LOC122580831,30,35,139,145
LOC122597715,13,10,5,18
LOC122597723,1137,1041,1921,1458
LOC122585126,507,614,891,532
LOC122596710,228,201,790,646
LOC122596733,260,286,940,743
LOC122581766,48,60,101,75
LOC122578522,261,250,1213,851
LOC122578533,177,276,412,333
LOC122578551,18,32,45,28
LOC122578542,295,241,329,237
LOC122584799,35,60,115,98
LOC122608149,255,327,352,238
LOC122586097,0,0,0,0
LOC122585778,2,4,37,16
LOC122580382,220,196,327,331
LOC122580360,14,12,32,10
LOC122580333,232,211,418,284
LOC122580350,1779,1332,1868,1394
LOC122580371,2678,3481,4418,3341
TRNAD-GUC,0,0,0,0
LOC122585085,0,0,2,1
LOC122585731,240,266,588,436
LOC122608864,864,1066,446,238
LOC122602394,4319,3484,2330,1791
LOC122610755,1235,916,4580,4408
LOC122610764,954,687,890,750
LOC122611088,3402,3403,13671,12340
LOC122605128,3973,2925,2024,1612
LOC122608820,116,114,26,19
LOC122598029,2787,4386,1692,1480
LOC122585956,1,1,0,0
LOC122585969,6,17,157,120
LOC122585100,1810,1001,527,344
LOC122593472,0,0,0,0
LOC122603032,933,839,1294,817
LOC122585469,25,33,46,31
LOC122585909,473,424,288,182
LOC122585908,2183,1272,1270,1086
LOC122585910,221,2,4,132
LOC122581413,39,51,262,225
LOC122584975,249,263,203,178
LOC122593481,3,16,37,8
LOC122605271,730,610,576,595
LOC122584951,35,20,13,12
LOC122584497,66,133,231,133
LOC122579528,480,434,674,485
LOC122585371,51,73,179,142
LOC122593491,1,2,1,1
LOC122585639,106,183,192,121
LOC122585641,0,0,0,0
LOC122585640,0,0,1,1
LOC122608511,70,167,867,356
LOC122579534,237,241,315,206
LOC122593508,0,0,0,0
LOC122606042,706,577,725,578
LOC122584819,637,582,934,701
LOC122585725,43,38,22,22
LOC122585726,41,85,58,30
LOC122585728,443,483,819,611
LOC122585960,1,0,0,1
LOC122593528,0,0,0,0
LOC122605052,822,733,954,732
LOC122585137,29,143,263,110
LOC122603070,1390,1435,4088,3636
LOC122584195,1459,926,845,652
LOC122586082,544,520,726,752
LOC122586083,2464,2221,1760,1776
LOC122586187,0,0,0,0
LOC122585218,0,3,6,3
LOC122600319,2265,1855,2875,2356
LOC122593539,0,0,0,0
LOC122586217,0,0,0,0
LOC122586220,0,0,0,0
LOC122584474,3553,3466,2387,1861
LOC122593548,10,29,18,8
LOC122585441,0,1,1,2
LOC122593577,0,0,0,0
LOC122585172,11,21,67,56
LOC122581007,399,290,296,190
LOC122593586,0,0,0,0
LOC122597569,4880,3328,2805,1949
LOC122601782,1030,1138,1742,1497
LOC122598019,4671,3117,4521,3392
LOC122598535,0,0,1,0
LOC122579229,361,412,1002,616
LOC122579185,168,177,292,211
LOC122584732,390,527,1122,741
LOC122610906,303,370,549,365
LOC122593617,1,0,0,0
LOC122593626,23,28,142,93
LOC122584529,87,53,23,18
LOC122585860,0,5,1,0
LOC122581345,385,412,1088,669
LOC122604393,213,252,159,59
LOC122585014,230,308,55,49
LOC122584918,107,112,77,74
LOC122605305,843,955,4962,4028
LOC122585527,1,1,11,2
LOC122603406,590,242,328,331
LOC122606831,5005,4939,3356,3424
LOC122602857,53,59,60,61
LOC122585342,14,15,8,8
LOC122585341,58,70,137,110
LOC122603906,154,194,964,583
LOC122603897,2,6,30,20
LOC122593636,1358,993,1102,797
LOC122603867,17,10,2,10
LOC122585520,7,10,4,2
LOC122584893,46,50,141,106
LOC122607058,2336,2269,1465,1530
LOC122604346,131,415,558,464
LOC122600649,3344,3119,3618,3038
LOC122579880,390,306,273,209
LOC122585216,65,71,76,48
LOC122581275,281,263,282,229
LOC122584730,133,137,315,203
LOC122610339,202,225,913,783
LOC122609469,35,36,206,311
LOC122586001,0,7,60,33
LOC122585537,363,312,428,353
LOC122584881,4077,3167,5136,3832
LOC122599354,1643,1035,1062,985
LOC122584723,218,293,718,549
LOC122593654,0,0,0,0
LOC122585375,73,66,53,84
LOC122578656,500,447,324,238
LOC122585844,4,5,1,3
LOC122602973,313,325,439,271
LOC122585964,2887,2242,2846,2062
LOC122585757,262,194,367,268
LOC122585099,9,31,386,329
LOC122593663,0,0,0,0
LOC122584905,143,158,312,227
LOC122593672,116,98,284,242
LOC122579821,1055,886,2261,2148
LOC122598171,6065,5007,26307,22605
LOC122585797,4,10,48,14
LOC122579621,0,0,0,0
LOC122611137,1072,855,7136,5719
LOC122609129,88,83,200,140
LOC122609138,453,623,367,290
LOC122584725,5,14,17,20
LOC122581830,628,438,1258,1300
LOC122581822,752,861,1318,766
LOC122601264,4056,3604,2591,1907
LOC122604615,448,350,1773,906
LOC122608257,1485,616,618,620
LOC122606381,1358,1179,1304,995
LOC122582721,3,2,26,16
LOC122582526,181,233,67,66
LOC122582623,5,0,0,0
LOC122585125,115,143,191,116
LOC122606839,1572,1495,1073,846
LOC122584729,59,44,88,72
LOC122608153,18,15,80,41
LOC122606624,313,260,1033,696
LOC122585333,11,7,12,4
LOC122584944,158,112,111,73
LOC122585494,0,2,2,2
LOC122585492,135,238,1486,1365
LOC122585718,65,135,53,23
LOC122585436,4,6,13,9
LOC122607324,1128,1146,2159,1595
LOC122608480,841,942,2025,1406
LOC122593689,0,0,0,0
LOC122584962,450,464,1077,875
LOC122584964,12,20,13,3
LOC122584965,491,430,342,209
LOC122584963,288,263,349,222
LOC122585048,10,23,5,1
LOC122607416,348,507,1274,912
LOC122582980,243,194,135,90
LOC122607313,276,342,977,783
LOC122593700,0,0,0,0
LOC122583410,32,34,180,180
LOC122585207,2129,2599,5477,5119
LOC122598604,9969,9351,5375,5129
LOC122593709,0,2,0,0
LOC122596842,0,0,0,0
LOC122584890,125,118,271,209
LOC122585809,0,0,0,0
LOC122581217,70,194,919,731
LOC122586136,0,1,1,1
LOC122585763,22,25,18,12
LOC122610335,310,227,277,191
LOC122585690,90,87,73,32
LOC122610305,229,269,437,289
LOC122585463,0,2,0,3
LOC122583308,393,306,217,121
LOC122584658,57,76,93,47
LOC122593719,4,8,5,3
LOC122593750,359,1015,43,18
LOC122585162,16,39,34,24
LOC122584608,261,223,260,260
LOC122599415,1832,2259,3119,1828
LOC122604675,30,46,173,139
LOC122585112,24,44,95,97
LOC122585110,3189,2547,998,774
LOC122585348,14,21,21,24
LOC122597453,3,0,8,4
LOC122600522,41,47,70,34
LOC122600539,815,662,1060,1024
LOC122606815,541,476,1183,1193
LOC122585242,5,6,21,3
LOC122584828,669,502,614,429
LOC122609528,379,343,423,341
LOC122581393,96,70,116,108
LOC122599400,507,790,5276,4531
LOC122578151,27,29,124,93
LOC122585920,265,233,334,302
LOC122586100,19,31,20,9
LOC122604386,4068,5357,5698,3760
LOC122586051,0,0,3,2
LOC122582650,465,637,721,539
LOC122585907,23,18,15,7
LOC122586137,3,3,11,16
LOC122580085,103,39,2,1
LOC122580152,108,24,1,2
LOC122593760,16,6,4,5
LOC122593770,1,0,0,0
LOC122579336,502,386,1001,782
LOC122584124,123,112,130,153
LOC122609814,302,534,447,313
LOC122593779,0,0,0,0
LOC122598258,0,0,0,0
LOC122610745,326,1092,1734,719
LOC122578454,228,457,322,194
LOC122581532,15,29,33,20
LOC122584858,33,34,5,6
LOC122585080,40,54,172,131
LOC122582359,923,828,3022,2349
LOC122584822,9,24,127,133
LOC122583992,30,38,95,61
LOC122605779,399,439,531,353
LOC122578104,783,484,822,633
LOC122585041,807,683,322,191
LOC122584953,166,191,263,159
LOC122585188,29,23,106,75
LOC122579560,444,581,227,177
LOC122608716,246,243,441,327
LOC122585297,453,394,743,553
LOC122598760,190,212,329,244
LOC122598734,988,1079,2333,1726
LOC122593790,0,2,4,3
LOC122593800,0,0,0,0
LOC122584289,94,97,256,186
LOC122585340,8,37,146,143
LOC122580043,73,54,70,73
LOC122581757,95,144,241,239
LOC122586007,0,3,2,2
LOC122609867,1258,1113,1317,999
LOC122579280,11,29,784,774
LOC122585050,403,387,772,343
LOC122606750,25,27,239,298
LOC122585842,2,0,0,1
LOC122600189,3809,2477,2500,1882
LOC122593809,0,0,0,0
LOC122593816,0,0,0,0
TRNAG-ACC,0,0,0,0
LOC122610399,415,376,1288,963
LOC122580125,236,230,922,873
LOC122593828,0,1,1,0
LOC122602353,84,93,80,50
LOC122602345,279,389,1361,1612
LOC122597261,3589,2620,3246,2505
LOC122585751,49,46,18,8
LOC122585153,160,184,277,178
LOC122586215,1,0,0,0
LOC122586008,2,12,6,9
LOC122584821,175,198,377,252
LOC122593840,4,12,57,9
LOC122585977,376,354,400,261
LOC122584683,147,147,183,126
LOC122593848,0,0,0,0
LOC122599004,1775,3728,14687,5342
LOC122599014,1976,3013,6579,4249
LOC122585539,117,74,30,19
LOC122593857,0,0,5,3
LOC122593865,15,14,4,10
LOC122585060,1334,1026,2361,1949
LOC122606013,1124,1271,1818,1383
LOC122584410,546,503,1484,1112
LOC122599906,2030,1538,1884,1350
LOC122593876,13,7,3,6
LOC122585612,28,39,197,165
LOC122604042,275,221,354,318
LOC122593887,0,1,3,0
LOC122606540,240,164,285,320
LOC122578991,839,733,697,465
LOC122607367,1177,1061,2186,1850
LOC122608220,1487,1350,677,563
LOC122587481,3,5,2,0
LOC122590739,3816,2247,104,42
LOC122585292,176,279,250,182
LOC122585286,19,116,220,88
LOC122611051,1009,811,522,359
LOC122601652,1540,1351,1293,1006
LOC122601670,678,572,697,566
LOC122601663,145,143,188,147
LOC122601681,570,603,1520,1195
LOC122585028,10,22,129,137
LOC122607020,305,294,571,474
LOC122608332,822,684,740,534
LOC122608679,224,252,1377,1207
LOC122601485,2174,1779,1841,1246
LOC122585381,0,0,2,8
LOC122585380,1,2,6,3
LOC122581599,264,277,365,324
LOC122597148,4,12,32,40
LOC122597138,20,18,94,84
LOC122593897,36,1,2,24
LOC122609032,1444,668,564,504
LOC122611358,734,557,1069,884
LOC122581460,4442,3586,3310,2798
LOC122593905,0,0,0,0
LOC122593914,0,1,0,2
LOC122593923,0,0,0,0
LOC122593933,0,0,0,0
LOC122593941,0,0,0,0
LOC122593948,0,0,0,0
LOC122585267,1,2,5,0
LOC122584762,51,47,106,82
LOC122589878,310,239,476,357
LOC122585234,3,10,50,44
LOC122601769,983,770,933,706
LOC122606198,140,208,115,81
LOC122584769,740,539,699,534
LOC122584977,32,22,10,8
LOC122609027,688,651,1150,758
LOC122583364,207,255,305,270
LOC122604510,124,143,1250,1324
LOC122602206,1577,1250,1821,1298
LOC122602770,88,225,752,344
LOC122585611,1,2,9,4
LOC122585524,3,7,62,57
LOC122593965,0,0,0,0
LOC122585296,10,29,230,105
LOC122610131,76,172,497,357
LOC122585136,308,364,474,363
LOC122593976,0,0,1,1
LOC122610704,76,117,629,482
LOC122585287,32,35,90,66
LOC122585874,5,17,50,16
LOC122607537,43,61,270,182
LOC122579493,246,227,876,703
LOC122583869,638,1170,4938,5212
LOC122578847,536,561,528,375
LOC122579038,252,165,358,256
LOC122593988,98,18,47,182
LOC122601287,886,962,1482,853
LOC122601321,1578,1492,1792,1524
LOC122601301,457,281,522,347
LOC122601313,0,1,11,5
LOC122593999,19,52,427,238
LOC122601338,424,424,767,508
LOC122601333,37,115,261,59
LOC122601284,2552,2360,2477,1782
LOC122601327,19,19,31,29
LOC122601274,1059,804,1759,1395
LOC122585428,5,11,71,64
LOC122585873,700,996,6434,5117
LOC122585317,24,29,72,61
LOC122598126,735,918,2921,2075
LOC122585361,73,68,773,1221
LOC122585359,691,578,1242,834
LOC122585637,1,0,1,1
LOC122578684,114,132,306,249
